City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,0,AU,1615988902,65,-42.7826,147.0587,55.0,1.61
Mataura,2,NZ,1615988631,83,-46.1927,168.8643,46.0,1.99
Muros,0,ES,1615988903,38,42.7762,-9.0603,71.01,5.01
Upernavik,100,GL,1615988682,94,72.7868,-56.1549,-2.29,3.76
Ponta do Sol,20,PT,1615988903,33,32.6667,-17.1,71.6,10.36
Babanka,100,UA,1615988903,97,48.7097,30.4483,35.01,10.89
Saldanha,12,ZA,1615988903,66,-33.0117,17.9442,68.85,10.76
Philadelphia,90,US,1615988658,93,39.9523,-75.1638,39.99,6.91
Alugan,95,PH,1615988904,79,12.2188,125.4808,80.74,3.8
Lorengau,8,PG,1615988904,74,-2.0226,147.2712,81.61,2.51
Mossamedes,40,AO,1615988904,62,-15.1961,12.1522,86.0,12.66
Robertsport,100,LR,1615988905,69,6.7533,-11.3686,81.79,10.69
Niquero,0,CU,1615988905,63,20.0431,-77.5828,77.47,6.08
Rikitea,62,PF,1615988632,70,-23.1203,-134.9692,78.3,10.04
Mount Gambier,5,AU,1615988700,77,-37.8333,140.7667,62.6,5.75
Cidreira,100,BR,1615988906,77,-30.1811,-50.2056,79.0,8.03
Ushuaia,0,AR,1615988904,71,-54.8,-68.3,48.2,8.05
Labuhan,39,ID,1615988906,78,-6.8844,112.2051,80.58,2.01
Katsuura,40,JP,1615988633,76,35.1333,140.3,55.4,11.5
Northport,90,US,1615988907,94,33.229,-87.5772,68.0,3.44
Hermanus,1,ZA,1615988907,58,-34.4187,19.2345,80.01,5.01
Lakes Entrance,69,AU,1615988907,92,-37.8811,147.981,55.0,13.29
Busselton,25,AU,1615988907,90,-33.65,115.3333,66.0,1.01
Cape Town,0,ZA,1615988742,44,-33.9258,18.4232,80.6,12.66
Krasnorechenskiy,40,RU,1615988908,90,44.6265,135.3532,21.33,9.08
Bluff,6,NZ,1615988654,83,-46.6,168.3333,46.0,1.99
Kruisfontein,32,ZA,1615988908,71,-34.0033,24.7314,75.99,7.0
Linhares,41,BR,1615988908,62,-19.3911,-40.0722,86.05,2.84
Aktash,60,RU,1615988909,94,50.3,87.7333,-4.16,1.52
Porto-Novo,40,BJ,1615988909,79,6.4965,2.6036,84.2,14.97
Jamestown,90,US,1615988909,93,42.097,-79.2353,32.0,1.83
Olafsvik,100,IS,1615988909,95,64.8945,-23.7142,43.61,17.2
Saskylakh,100,RU,1615988658,94,71.9167,114.0833,-24.5,8.48
Hirara,0,JP,1615988621,86,24.8,125.2833,72.57,11.95
Toguchin,0,RU,1615988910,90,55.2353,84.3858,12.72,9.33
Sechura,30,PE,1615988910,63,-5.5569,-80.8222,78.84,7.72
San Andrés,75,CO,1615988910,94,12.5847,-81.7006,77.0,14.97
Nanortalik,100,GL,1615988910,87,60.1432,-45.2371,35.31,10.65
Mehamn,75,NO,1615988911,86,71.0357,27.8492,24.8,29.93
Westport,90,US,1615988911,64,41.1415,-73.3579,36.0,3.44
Puerto Ayora,39,EC,1615988635,89,-0.7393,-90.3518,80.01,1.99
Batagay-Alyta,15,RU,1615988911,62,67.8006,130.4114,-12.64,11.23
Homestead,1,US,1615988912,73,25.4687,-80.4776,80.01,6.91
George Town,20,MY,1615988912,70,5.4112,100.3354,84.2,4.61
Saint-Philippe,0,RE,1615988912,58,-21.3585,55.7679,84.2,11.5
Kununurra,40,AU,1615988912,100,-15.7667,128.7333,77.0,3.44
Punta Arenas,75,CL,1615988912,66,-53.15,-70.9167,51.8,28.77
Sitka,40,US,1615988913,70,57.0531,-135.33,39.2,13.8
Sisimiut,22,GL,1615988913,77,66.9395,-53.6735,9.99,7.72
Yellowknife,90,CA,1615988782,85,62.456,-114.3525,5.0,5.75
Yarmouth,90,US,1615988913,64,41.7057,-70.2286,37.0,5.75
Ilulissat,90,GL,1615988913,79,69.2167,-51.1,12.2,2.3
Atuona,8,PF,1615988641,73,-9.8,-139.0333,79.99,9.71
Hauterive,90,FR,1615988914,65,46.0901,3.4459,44.6,16.11
Carnarvon,0,AU,1615988914,78,-24.8667,113.6333,80.6,19.57
‘Āhuimanu,90,US,1615988914,83,21.4447,-157.8378,69.8,21.85
Chokurdakh,22,RU,1615988742,89,70.6333,147.9167,-16.33,6.53
Luba,20,GQ,1615988915,74,3.4568,8.5547,84.2,16.11
Broome,90,US,1615988915,80,42.2506,-75.833,35.01,4.61
Waddān,0,LY,1615988915,24,29.1614,16.139,70.27,7.09
East London,75,ZA,1615988915,83,-33.0153,27.9116,75.2,11.5
Rawson,31,AR,1615988916,42,-43.3002,-65.1023,55.35,13.13
Wanaka,0,NZ,1615988916,78,-44.7,169.15,45.0,1.68
Khandyga,100,RU,1615988750,94,62.6667,135.6,11.5,7.18
Shingū,100,JP,1615988916,50,33.7333,135.9833,47.57,8.03
Kemin,100,KG,1615988916,92,42.7846,75.6892,24.69,2.26
Karratha,16,AU,1615988917,59,-20.7377,116.8463,85.96,6.87
Melito di Porto Salvo,9,IT,1615988917,36,37.9222,15.7714,59.0,12.66
Marsaxlokk,0,MT,1615988917,33,35.8419,14.5431,60.8,14.97
Fare,43,PF,1615988917,73,-16.7,-151.0167,81.81,9.73
Talnakh,100,RU,1615988655,79,69.4865,88.3972,-8.14,7.29
Sol'-Iletsk,100,RU,1615988918,77,51.1631,54.9918,23.07,13.85
Norman Wells,20,CA,1615988683,75,65.282,-126.8329,-25.6,2.3
Hambantota,20,LK,1615988918,79,6.1241,81.1185,84.2,4.61
Springdale,90,US,1615988918,100,36.1867,-94.1288,66.2,11.5
Saint Anthony,90,US,1615988919,93,45.0205,-93.218,34.0,3.44
Cabo San Lucas,1,MX,1615988681,67,22.8909,-109.9124,59.0,3.56
Lüderitz,0,NA,1615988919,67,-26.6481,15.1594,70.59,16.06
Ribeira Grande,20,PT,1615988919,77,38.5167,-28.7,62.6,21.85
Jiayuguan City,100,CN,1615988637,17,39.8167,98.3,43.63,6.76
Saint Paul Harbor,1,US,1615988920,54,57.79,-152.4072,24.8,6.91
Esperance,0,AU,1615988920,43,-33.8667,121.9,73.4,11.5
Alyangula,95,AU,1615988920,74,-13.8483,136.4192,82.74,7.61
Nemyriv,90,UA,1615988921,81,48.9708,28.8378,37.4,13.42
Ashta,0,IN,1615988921,21,23.0167,76.7167,81.86,3.2
Española,1,US,1615988921,100,35.9911,-106.0806,30.2,3.44
Yeppoon,90,AU,1615988921,83,-23.1333,150.7333,73.4,10.36
Soyo,75,AO,1615988921,70,-6.1349,12.3689,84.2,5.75
Vila Franca do Campo,75,PT,1615988922,67,37.7167,-25.4333,60.8,11.5
Xining,0,CN,1615988818,42,36.6167,101.7667,41.52,2.3
Constitución,0,CL,1615988922,64,-35.3333,-72.4167,64.0,5.23
Osakasayama,0,JP,1615988922,66,34.5039,135.55,46.4,18.41
Bambous Virieux,40,MU,1615988922,65,-20.3428,57.7575,82.4,10.36
Marzuq,100,YE,1615988923,18,14.4,46.4667,82.11,14.34
Barrow,90,US,1615988636,70,71.2906,-156.7887,-9.4,8.05
Tuktoyaktuk,20,CA,1615988639,68,69.4541,-133.0374,-25.6,4.61
Lagoa,91,PT,1615988923,79,39.05,-27.9833,59.59,23.67
Anshun,23,CN,1615988923,93,26.25,105.9333,63.1,10.49
Saint-François,75,FR,1615988924,76,46.4154,3.9054,45.0,12.66
Hobart,0,AU,1615988853,76,-42.8794,147.3294,55.4,4.61
Los Llanos de Aridane,20,ES,1615988924,64,28.6585,-17.9182,69.8,10.36
Hong Kong,34,HK,1615988762,83,22.2855,114.1577,77.0,1.01
Hasaki,20,JP,1615988924,71,35.7333,140.8333,48.2,3.44
Yulara,100,AU,1615988706,20,-25.2406,130.9889,71.6,8.05
Ahipara,29,NZ,1615988925,94,-35.1667,173.1667,61.43,5.7
Takoradze,100,GH,1615988925,71,4.8845,-1.7554,84.96,13.31
Phan Thiet,100,VN,1615988828,91,10.9333,108.1,74.84,9.04
Portland,1,US,1615988925,80,45.5234,-122.6762,37.0,0.51
Changji,90,CN,1615988926,93,44.0167,87.3167,24.8,2.24
Carballo,0,ES,1615988926,52,43.213,-8.691,64.4,13.8
Seydişehir,89,TR,1615988926,87,37.4193,31.8453,39.61,7.65
Dévaványa,40,HU,1615988926,65,47.0333,20.9667,48.99,16.11
Nikolskoye,90,RU,1615988927,86,59.7035,30.7861,33.01,6.71
Marabu,40,MY,1615988871,89,4.4148,114.0089,80.6,4.61
Sibolga,97,ID,1615988753,82,1.7427,98.7792,78.71,2.24
Padang,100,ID,1615988927,84,-0.9492,100.3543,79.2,1.88
Eureka,1,US,1615988928,86,40.8021,-124.1637,35.01,3.44
Baykit,71,RU,1615988928,96,61.67,96.37,12.34,2.77
Fayaoué,54,NC,1615988929,79,-20.65,166.5333,79.79,10.94
Kupang,100,ID,1615988929,88,-10.1667,123.5833,77.92,3.02
São José da Coroa Grande,4,BR,1615988929,58,-8.8978,-35.1478,84.36,8.9
Kerema,100,PG,1615988929,88,-7.9631,145.7785,77.04,7.14
Walvis Bay,0,NA,1615988930,53,-22.9575,14.5053,71.6,10.36
Anadyr,0,RU,1615988930,70,64.75,177.4833,-13.0,11.18
Thompson,1,CA,1615988712,62,55.7435,-97.8558,15.8,5.75
Fortuna,1,US,1615988670,100,40.5982,-124.1573,35.01,5.75
Adré,100,TD,1615988931,11,13.4667,22.2,99.61,7.85
Yantal',99,RU,1615988931,96,56.8471,105.2542,10.47,3.44
San Quintín,0,MX,1615988931,5,30.4833,-115.95,36.0,1.01
Murray Bridge,0,AU,1615988931,75,-35.1167,139.2667,63.0,4.61
Puerto del Rosario,20,ES,1615988932,60,28.5004,-13.8627,69.8,14.97
São João da Barra,0,BR,1615988932,58,-21.6403,-41.0511,84.2,9.22
Kremenchuk,100,UA,1615988932,89,49.0973,33.4197,40.62,5.17
Esim,100,GH,1615988933,70,4.8699,-2.2405,85.14,13.38
Volchikha,0,RU,1615988934,91,52.0333,80.3833,10.63,7.23
Nhulunbuy,100,AU,1615988934,89,-12.2333,136.7667,78.8,5.57
Tual,36,ID,1615988934,68,-5.6667,132.75,84.02,4.9
Tiksi,100,RU,1615988934,97,71.6872,128.8694,-20.81,10.42
Ancud,0,CL,1615988934,71,-41.8697,-73.8203,54.0,6.91
Lokosovo,100,RU,1615988935,96,61.1333,74.8167,26.2,8.21
Cayenne,20,GF,1615988935,62,4.9333,-52.3333,86.0,9.22
Port Elizabeth,20,ZA,1615988671,64,-33.918,25.5701,75.2,9.22
Avarua,75,CK,1615988935,83,-21.2078,-159.775,80.6,11.5
Clyde River,20,CA,1615988935,68,70.4692,-68.5914,-25.6,1.52
Waipawa,90,NZ,1615988936,62,-41.4122,175.5153,57.2,20.71
Nome,90,US,1615988936,85,64.5011,-165.4064,8.6,10.36
Chui,27,UY,1615988936,74,-33.6971,-53.4616,76.82,11.88
Kutum,42,SD,1615988937,6,14.2,24.6667,96.03,14.16
Qaqortoq,75,GL,1615988937,80,60.7167,-46.0333,33.8,5.75
Puro,100,PH,1615988937,82,12.4841,123.3827,80.96,5.95
Ouallam,30,NE,1615988938,7,14.3188,2.0866,103.23,4.29
Hilo,90,US,1615988938,83,19.7297,-155.09,69.8,4.61
Arlit,41,NE,1615988938,8,18.7369,7.3853,103.39,15.28
Tel'ma,0,RU,1615988938,53,52.6983,103.7097,21.2,4.47
Arraial do Cabo,0,BR,1615988938,65,-22.9661,-42.0278,84.2,18.41
Nueva Loja,0,EC,1615988939,94,0.0847,-76.8828,73.4,2.3
Lebu,0,CL,1615988939,67,-37.6167,-73.65,59.63,8.72
Airai,100,TL,1615988939,94,-8.9266,125.4092,62.2,0.78
Koudougou,28,BF,1615988939,9,12.25,-2.3667,101.48,5.32
La Ronge,0,CA,1615988731,86,55.1001,-105.2842,17.6,2.93
Paamiut,100,GL,1615988717,87,61.994,-49.6678,20.98,22.24
Dolores,100,AR,1615988940,91,-36.3132,-57.6792,58.69,23.38
Staraya Mayna,100,RU,1615988940,54,54.6,48.95,26.6,8.95
Birjand,75,IR,1615988940,12,32.8663,59.2211,71.6,16.11
Vestmannaeyjar,90,IS,1615988941,93,63.4427,-20.2734,46.4,8.05
Kahului,90,US,1615988670,85,20.8947,-156.47,66.0,14.18
Faanui,56,PF,1615988941,72,-16.4833,-151.75,82.18,9.33
Bandundu Province,98,CD,1615988941,48,-3.3167,17.3667,88.99,1.21
Kibala,20,TD,1615988942,28,9.1104,18.3463,98.6,13.8
Álamos,0,MX,1615988942,34,27.0167,-108.9333,54.82,3.91
Parabel',100,RU,1615988942,93,58.6978,81.4825,17.06,11.39
Egvekinot,0,RU,1615988942,72,66.3167,-179.1667,-13.09,8.1
Aykhal,0,RU,1615988943,81,66.0,111.5,-24.34,4.94
Puerto Padre,0,CU,1615988943,83,21.195,-76.6028,71.6,2.3
College,75,US,1615988943,70,64.8569,-147.8028,1.0,2.48
Bethel,90,US,1615988943,80,41.3712,-73.414,37.0,1.77
Atambua,99,ID,1615988943,82,-9.1061,124.8925,76.14,2.21
Mujiayingzi,100,CN,1615988944,27,42.1167,118.7833,36.16,2.51
Brae,20,GB,1615988944,76,60.3964,-1.353,46.4,17.27
Hithadhoo,82,MV,1615988651,68,-0.6,73.0833,83.66,6.6
Petropavlovsk-Kamchatskiy,100,RU,1615988944,87,53.0452,158.6483,35.6,6.71
Hammerfest,75,NO,1615988944,68,70.6634,23.6821,24.8,12.66
Geraldton,0,AU,1615988659,78,-28.7667,114.6,75.2,16.11
Raudeberg,100,NO,1615988945,81,61.9875,5.1352,41.0,6.33
Belogorsk,16,RU,1615988945,86,50.9158,128.4611,15.08,4.74
Meulaboh,94,ID,1615988945,77,4.1363,96.1285,79.3,2.06
Nautla,0,MX,1615988946,80,20.2167,-96.7833,76.86,3.22
Marovoay,20,MG,1615988946,70,-16.1,46.6333,87.8,8.05
Quatre Cocos,40,MU,1615988946,65,-20.2078,57.7625,82.4,10.36
Mezen',98,RU,1615988946,96,65.8522,44.24,20.28,4.12
Asău,100,RO,1615988946,69,46.4333,26.4,35.01,9.98
Cherskiy,0,RU,1615988947,90,68.75,161.3,-21.08,4.59
Balatan,26,PH,1615988947,88,13.3211,123.2333,77.99,3.49
Río Gallegos,0,AR,1615988947,54,-51.6226,-69.2181,51.8,17.27
Mount Isa,7,AU,1615988948,30,-20.7333,139.5,82.4,9.22
Te Anau,1,NZ,1615988948,93,-45.4167,167.7167,39.25,1.39
Mar del Plata,90,AR,1615988842,88,-38.0023,-57.5575,61.0,27.63
Isangel,6,VU,1615988948,87,-19.55,169.2667,77.47,8.01
Iqaluit,75,CA,1615988684,69,63.7506,-68.5145,-16.6,1.21
Smirnykh,100,RU,1615988949,80,49.75,142.8333,16.2,10.54
Denpasar,20,ID,1615988949,83,-8.65,115.2167,80.6,3.44
Anloga,20,GH,1615988922,62,5.7947,0.8973,89.6,14.97
Hualmay,82,PE,1615988949,69,-11.0964,-77.6139,76.03,9.71
Chirongui,20,YT,1615988949,74,-12.9319,45.1483,84.2,4.61
Rocha,51,UY,1615988950,69,-34.4833,-54.3333,75.54,13.73
Khipro,0,PK,1615988950,11,25.8285,69.3772,88.16,4.85
Pontian Kecil,20,MY,1615988950,94,1.4801,103.3899,75.2,2.3
Barcelos,0,PT,1615988951,30,41.5388,-8.6151,71.6,13.8
Akom,98,CM,1615988951,84,2.6678,12.7109,76.96,5.23
Tsiroanomandidy,100,MG,1615988951,88,-18.7667,46.0333,74.8,4.09
Mareeba,25,AU,1615988951,88,-17.0,145.4333,77.0,2.33
Fairbanks,75,US,1615988952,77,64.8378,-147.7164,1.0,2.48
Kholtoson,100,RU,1615988952,94,50.2981,103.3097,17.8,4.61
Sarasota,40,US,1615988953,88,27.167,-82.3332,72.0,6.91
Floriano,15,BR,1615988953,62,-6.7669,-43.0225,85.95,6.89
Belaya Gora,83,RU,1615988953,83,68.5333,146.4167,-8.28,7.49
Kunming,0,CN,1615988882,25,25.0389,102.7183,66.0,11.18
West Bay,20,KY,1615988953,74,19.3667,-81.4167,80.6,9.22
Warri,100,NG,1615988954,64,5.5167,5.75,85.23,7.63
Caravelas,1,BR,1615988954,57,-17.7125,-39.2481,85.98,6.4
Iroquois Falls,75,CA,1615988954,63,48.7669,-80.6831,24.8,2.3
Zverinogolovskoye,42,RU,1615988955,86,54.4586,64.8542,15.58,9.91
Bereket,100,TM,1615988955,55,39.2446,55.5154,52.39,18.99
Coquimbo,20,CL,1615988691,72,-29.9533,-71.3436,62.6,5.75
Banjar,20,ID,1615988956,83,-8.19,114.9675,80.6,3.44
Coyhaique,0,CL,1615988956,81,-45.5752,-72.0662,41.0,5.75
Puqi,93,CN,1615988956,93,29.7167,113.8833,59.25,4.43
Teknāf,0,BD,1615988956,59,20.8624,92.3058,76.03,7.43
Fes,75,MA,1615988957,49,34.0372,-4.9998,68.0,12.66
Cap Malheureux,0,MU,1615988957,73,-19.9842,57.6142,82.0,5.99
Araouane,0,ML,1615988957,7,18.9048,-3.5265,91.72,11.86
Kitimat,99,CA,1615988957,96,54.0524,-128.6534,34.0,2.53
Skegness,20,GB,1615988957,58,53.1436,0.3363,51.8,14.97
Dickinson,90,US,1615988958,88,29.4608,-95.0513,73.0,14.97
Avera,90,US,1615988958,91,33.194,-82.5271,51.8,4.61
Mūl,57,IN,1615988743,22,20.0667,79.6667,87.69,4.85
Kumul,81,CN,1615988786,34,42.8,93.45,45.48,8.77
Pingzhuang,100,CN,1615988959,27,42.0372,119.2889,37.06,2.39
Bilma,0,NE,1615988959,9,18.6853,12.9164,95.49,8.55
Synya,100,RU,1615988959,94,65.3718,58.0387,26.82,5.41
Sabha,0,LY,1615988959,13,27.0377,14.4283,76.51,5.5
Chipinge,43,ZW,1615988959,63,-20.1883,32.6236,74.77,7.31
Zaysan,68,KZ,1615988960,91,47.4667,84.8667,6.19,2.33
Wakkanai,100,JP,1615988960,82,45.4094,141.6739,31.82,29.55
Banda Aceh,89,ID,1615988960,76,5.5577,95.3222,81.32,2.62
Bam,100,IR,1615988960,13,29.106,58.357,80.47,9.19
Mehrān,75,IR,1615988961,31,33.1222,46.1646,73.4,9.22
Nuuk,75,GL,1615988961,86,64.1835,-51.7216,17.6,19.57
Longyearbyen,0,SJ,1615988962,46,78.2186,15.6401,-2.2,12.66
Arrondissement de Saint-Denis,75,FR,1615988962,66,48.9167,2.3333,51.01,13.8
Kargasok,100,RU,1615988962,93,59.0556,80.8572,18.88,12.15
Kavieng,94,PG,1615988682,71,-2.5744,150.7967,82.94,7.81
Nola,75,IT,1615988963,40,40.922,14.5329,55.0,9.22
Nelson Bay,75,AU,1615988919,94,-32.7167,152.15,66.99,8.05
Luoyang,100,CN,1615988956,99,34.6836,112.4536,55.0,5.39
Puerto Madryn,94,AR,1615988963,44,-42.7692,-65.0385,54.07,13.0
Santa Cruz das Palmeiras,0,BR,1615988963,61,-21.8269,-47.2486,82.4,9.22
Kaitangata,4,NZ,1615988964,78,-46.2817,169.8464,46.99,1.99
Bereda,5,ES,1615988964,67,43.2686,-7.5406,62.01,15.01
Gondanglegi,100,ID,1615988964,92,-7.7479,112.0132,76.24,6.22
Maricá,0,BR,1615988965,74,-22.9194,-42.8186,89.01,4.61
Riberalta,20,BO,1615988965,89,-10.9833,-66.1,78.8,5.75
Hofn,100,IS,1615988965,88,64.2539,-15.2082,46.9,9.6
Havøysund,75,NO,1615988965,64,70.9963,24.6622,30.2,27.63
Sal Rei,20,CV,1615988966,64,16.1833,-22.9167,75.2,18.41
Chake Chake,100,TZ,1615988966,58,-5.2459,39.7666,86.09,5.59
Ōhara,20,JP,1615988966,71,35.25,140.3833,55.4,3.44
Muhos,0,FI,1615988967,80,64.808,25.9931,26.6,9.22
Semey,0,KZ,1615988967,85,50.4111,80.2275,1.4,4.47
Nurobod,0,UZ,1615988967,49,40.9056,69.8023,46.4,6.91
Kango,100,GA,1615988967,81,0.1943,10.0951,79.25,0.85
Borba,57,BR,1615988968,64,-4.3878,-59.5939,87.06,4.61
Camargo,0,MX,1615988968,23,27.6667,-105.1667,51.17,5.08
Lompoc,1,US,1615988968,93,34.6391,-120.4579,39.99,5.75
Aklavik,0,CA,1615988968,76,68.2191,-135.0107,-13.0,5.75
Grindavik,90,IS,1615988969,100,63.8424,-22.4338,46.4,21.85
Port Hedland,40,AU,1615988969,78,-20.3167,118.5667,82.4,2.3
Lishu,51,CN,1615988969,35,43.3047,124.3278,34.05,5.46
Zaria,9,NG,1615988969,11,11.1113,7.7227,99.36,1.57
Kungurtug,100,RU,1615988969,95,50.5994,97.5228,13.6,2.93
Ugoofaaru,67,MV,1615988970,70,5.6667,73.0,83.52,8.9
Zhoucheng,34,CN,1615988970,37,35.9122,116.3117,53.4,3.78
Samarai,94,PG,1615988970,79,-10.6167,150.6667,81.01,4.09
Pemangkat,100,ID,1615988970,83,1.1667,108.9667,79.65,6.53
Southbridge,0,US,1615988970,85,42.0751,-72.0334,34.0,5.12
Chacabuco,100,AR,1615988971,66,-34.6417,-60.4739,64.0,14.0
Mahajanga,20,MG,1615988971,70,-15.7167,46.3167,87.8,8.05
Merritt,75,CA,1615988971,93,50.1123,-120.7942,28.4,2.08
Camocim,100,BR,1615988971,81,-2.9022,-40.8411,81.54,9.17
Rabo de Peixe,75,PT,1615988971,67,37.8,-25.5833,60.8,11.5
Erenhot,30,CN,1615988972,29,43.6475,111.9767,33.67,12.53
Sirsi,93,IN,1615988745,70,14.6167,74.85,75.25,5.46
Linxia Chengguanzhen,67,CN,1615988973,41,35.6003,103.2064,47.66,4.07
Alta Floresta,20,BR,1615988973,70,-9.8756,-56.0861,86.0,2.3
Shimoda,72,JP,1615988675,62,34.6667,138.95,48.0,1.01
Waingapu,100,ID,1615988693,84,-9.6567,120.2641,79.38,4.18
Pinawa,98,CA,1615988973,88,50.1489,-95.8811,31.59,4.41
Buckeye,81,US,1615988974,45,33.3703,-112.5838,48.0,1.01
Yining,84,CN,1615988974,96,29.0361,114.5636,59.9,3.2
Isiolo,91,KE,1615988974,45,0.3546,37.5822,82.35,13.76
Khromtau,100,KZ,1615988974,80,50.2503,58.4347,13.17,12.55
Joshīmath,85,IN,1615988974,62,30.5667,79.5667,52.97,4.14
Gimli,83,CA,1615988975,86,50.6336,-96.9907,30.2,2.3
Inhambane,0,MZ,1615988975,66,-23.865,35.3833,82.85,9.69
Norrtälje,75,SE,1615988975,55,59.758,18.705,35.6,12.66
Tasiilaq,90,GL,1615988975,100,65.6145,-37.6368,32.0,36.82
Darhan,100,MN,1615988976,90,49.4867,105.9228,22.87,9.1
Bo Phloi,100,TH,1615988976,58,14.3236,99.5161,83.59,6.64
Tonj,100,SS,1615988802,49,7.2737,28.6822,87.75,4.18
Mata,17,PT,1615988976,46,40.683,-7.4592,66.0,11.01
Tucupita,12,VE,1615988977,59,9.0622,-62.051,84.0,6.93
Mariehamn,90,AX,1615988977,69,60.0973,19.9348,33.8,11.5
Sakakah,0,SA,1615988977,15,29.9697,40.2064,84.2,11.5
Mazyr,100,BY,1615988977,84,52.0495,29.2456,37.56,6.17
Husavik,75,IS,1615988978,66,66.0449,-17.3389,51.8,21.85
Kapit,61,MY,1615988978,98,2.0167,112.9333,75.34,0.54
San Cristobal,75,VE,1615988747,94,7.7669,-72.225,73.4,2.3
Adrar,77,MR,1615988979,7,20.5022,-10.0711,88.48,8.1
Torbay,20,CA,1615988979,68,47.6666,-52.7314,27.0,17.27
Tautira,20,PF,1615988979,73,-17.7333,-149.15,78.8,2.3
Gunzenhausen,20,DE,1615988979,81,49.1,10.75,43.0,9.22
Srednekolymsk,0,RU,1615988980,82,67.45,153.6833,-10.35,4.54
Ghoti,80,IN,1615988980,24,19.7168,73.6245,81.0,6.89
Pitimbu,20,BR,1615988980,58,-7.4706,-34.8086,86.0,9.22
Vágur,100,FO,1615988980,92,61.4732,-6.8119,45.25,13.94
Cianorte,100,BR,1615988981,89,-23.6633,-52.605,71.78,4.72
Burnie,94,AU,1615988981,74,-41.0667,145.9167,59.0,7.0
Taku,0,CN,1615988981,31,39.0211,117.6469,44.6,4.47
Pukhrāyān,100,IN,1615988981,15,26.2333,79.85,85.05,4.65
Libreville,20,GA,1615988728,79,0.3925,9.4537,84.2,8.05
Bambanglipuro,100,ID,1615988982,82,-7.95,110.2833,79.61,0.65
Tashigang,16,BT,1615988982,70,27.3331,91.5542,60.08,3.29
Tynda,80,RU,1615988982,91,55.1667,124.7167,5.63,3.51
Havre-St-Pierre,40,CA,1615988983,67,50.2334,-63.5986,14.0,3.44
San Patricio,90,US,1615988983,94,28.017,-97.5169,75.2,6.46
Barnsley,38,GB,1615988983,54,53.55,-1.4833,55.99,1.01
Kaifeng,0,CN,1615988984,32,34.7911,114.3483,53.6,4.47
Yar-Sale,92,RU,1615988984,96,66.8333,70.8333,-9.09,10.31
Inuvik,0,CA,1615988984,76,68.3499,-133.7218,-13.0,5.75
Saint Augustine,1,US,1615988984,88,29.8947,-81.3145,73.0,9.22
Bonthe,93,SL,1615988984,56,7.5264,-12.505,84.6,9.44
Boa Vista,40,BR,1615988985,65,2.8197,-60.6733,80.6,14.97
Nānākuli,40,US,1615988985,83,21.3906,-158.1547,69.8,6.91
Monrovia,94,LR,1615988736,69,6.3005,-10.7969,83.37,12.48
Mahibadhoo,88,MV,1615988985,72,3.7833,72.9667,83.37,9.46
Gordeyevka,100,RU,1615988985,83,52.9569,31.9703,37.15,5.46
Llaillay,40,CL,1615988986,82,-32.85,-70.9667,64.99,3.31
Menomonie,90,US,1615988986,100,44.8755,-91.9193,30.99,1.01
Poya,0,NC,1615988986,88,-21.35,165.15,75.47,4.07
